"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4330","Verify user can update the shopping cart","Zando E2E test suite","Fri Nov 22 06:23:23 UTC 2024","passed","Fri Nov 22 06:23:28 UTC 2024","tests.shoppingCartTests.ShoppingCartTests","ShoppingCartTests","tests.shoppingCartTests.ShoppingCartTests","Verify user can update the shopping cart"
"","3054","Verify user can sort search results based on the given filters","Zando E2E test suite","Fri Nov 22 06:23:41 UTC 2024","passed","Fri Nov 22 06:23:44 UTC 2024","tests.searchTests.SearchTests","SearchTests","tests.searchTests.SearchTests","Verify user can sort search results based on the given filters"
"","5535","Verify profile page is displayed correctly for an user","Zando E2E test suite","Fri Nov 22 06:23:05 UTC 2024","passed","Fri Nov 22 06:23:11 UTC 2024","tests.profileTests.ProfileTests","ProfileTest","tests.profileTests.ProfileTests","Verify profile page is displayed correctly for an user"
"","6211","Verify user can search a product based on the given search keywords","Zando E2E test suite","Fri Nov 22 06:23:29 UTC 2024","passed","Fri Nov 22 06:23:35 UTC 2024","tests.searchTests.SearchTests","SearchTests","tests.searchTests.SearchTests","Verify user can search a product based on the given search keywords"
"","11357","Verify user can add a product in the shopping cart","Zando E2E test suite","Fri Nov 22 06:23:12 UTC 2024","passed","Fri Nov 22 06:23:23 UTC 2024","tests.shoppingCartTests.ShoppingCartTests","ShoppingCartTests","tests.shoppingCartTests.ShoppingCartTests","Verify user can add a product in the shopping cart"
"","6186","Verify user can filter search results based on the given filters","Zando E2E test suite","Fri Nov 22 06:23:35 UTC 2024","passed","Fri Nov 22 06:23:41 UTC 2024","tests.searchTests.SearchTests","SearchTests","tests.searchTests.SearchTests","Verify user can filter search results based on the given filters"
